Keyword,Source,URL đang rank,URL mục tiêu,Volume,KD,Clicks,Impressions,CTR,Position,Intent,Funnel,Cluster,Main Topic,Sub Topic,Parent Topic,Topical Authority Role,URL Status,Issue Found,SEO Action,Priority,Internal Link Target,Suggested Anchor,Content Brief Status,Owner,Review Date
iso là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-la-gi-nhung-tieu-chuan-iso-pho-bien-va-quy-trinh-chung-nhan-iso/,,,,3,1904,0.16%,4.77,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
koa certification,GSC,https://knacert.com.vn/,,,,0,1880,0.00%,8.18,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
kaizen,GSC,https://knacert.com.vn/cong-cu-cai-tien/kaizen-la-gi-tim-hieu-nhung-loi-ich-tu-viec-ap-dung-kaizen/,,,,2,1823,0.11%,8.60,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ce,GSC,https://knacert.com.vn/products?id=71,,,,0,1814,0.00%,7.93,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
viên nén gỗ,GSC,https://knacert.com.vn/cong-cu-cai-tien/vien-nen-go-la-gi-wood-pellet-uu-diem-cua-vien-nen-go/,,,,19,2066,0.92%,2.37,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
cp là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/cp-trong-haccp-la-gi-tai-sao-ap-dung-diem-kiem-soat-cp-trong-haccp/,,,,0,1728,0.00%,8.21,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
qa,GSC,https://knacert.com.vn/blogs/tin-tuc/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc,,,,0,2071,0.00%,1.00,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
rba là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/rba-la-gi-quy-tac-ung-xu-rba-ve-trach-nhiem-xa-hoi-nganh-dien-tu/,,,,15,1579,0.95%,6.34,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
msa,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/gioi-thieu-ve-phan-tich-he-thong-do-luong-msa/,,,,4,1592,0.25%,7.09,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
smeta,GSC,https://knacert.com.vn/dich-vu/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta/,,,,2,1581,0.13%,5.11,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
koa certification,GSC,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-kosher/,,,,0,1588,0.00%,6.44,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
wrap,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/bo-tieu-chuan-wrap-la-gi-worldwide-responsible-accredited-production/,,,,0,1581,0.00%,8.87,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
fda là gì,GSC,https://knacert.com.vn/dich-vu/dang-ky-fda-la-gi-thu-tuc-xin-giay-chung-nhan-fda/,,,,3,1497,0.20%,7.20,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ser,GSC,https://knacert.com.vn/dich-vu/thd-ser-tieu-chuan-trach-nhiem-xa-hoi-va-moi-truong/,,,,0,1482,0.00%,5.46,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
lean,GSC,https://knacert.com.vn/cong-cu-cai-tien/mo-hinh-lean-manufacturing-quan-ly-tinh-gon-la-gi/,,,,4,1443,0.28%,9.20,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
cq,GSC,https://knacert.com.vn/cong-cu-cai-tien/certificate-of-quality-cq-la-gi/,,,,3,1433,0.21%,5.96,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
tc là gì,GSC,https://knacert.com.vn/dich-vu/giay-chung-nhan-giao-dichchung-chi-tc-la-gi/,,,,18,1612,1.12%,2.31,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
lean là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/mo-hinh-lean-manufacturing-quan-ly-tinh-gon-la-gi/,,,,1,1387,0.07%,6.32,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
higg,GSC,https://knacert.com.vn/dich-vu/chi-so-higg-index-va-hiep-hoi-may-mac-ben-vung/,,,,2,1366,0.15%,7.08,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
5s,GSC,https://knacert.com.vn/cong-cu-cai-tien/noi-dung-5s-duoc-hieu-nhu-the-nao/,,,,1,1305,0.08%,4.56,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
lean six sigma,GSC,https://knacert.com.vn/cong-cu-cai-tien/tim-hieu-mo-hinh-lean-six-sigma-mo-hinh-cai-tien-nang-suat-chat-luong/,,,,31,1413,2.19%,3.71,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
sop là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/quy-trinh-thao-tac-chuan-sop-la-gi/,,,,0,1299,0.00%,9.53,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
kaizen là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/kaizen-la-gi-triet-ly-cai-tien-lien-tuc-va-cach-ap-dung/,,,,6,1250,0.48%,4.73,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
cq là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/certificate-of-quality-cq-la-gi/,,,,1,1255,0.08%,6.91,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ce,GSC,https://knacert.com.vn/phat-trien-ben-vung/nhung-cau-hoi-thuong-gap-ve-ce-marking/,,,,0,1492,0.00%,10.42,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
haccp là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/muc-dich-cua-viec-ap-dung-haccp-la-gi/,,,,0,1204,0.00%,8.79,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso 14001,GSC,https://knacert.com.vn/cong-cu-cai-tien/tieu-chuan-iso-140012015/,,,,4,1172,0.34%,6.77,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
smeta,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-trach-nhiem-xa-hoi-sedex-smeta-la-gi/,,,,2,1166,0.17%,6.01,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
sc là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/giay-chung-nhan-pham-vi-hoat-dong-scope-certificate-chung-chi-sc-la-gi/,,,,12,1317,0.91%,3.35,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
cfc là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/cfc-la-khi-gi-cac-nguon-phat-thai-cua-khi-cfc/,,,,0,1126,0.00%,6.73,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
cert,GSC,https://knacert.com.vn/,,,,3,1112,0.27%,7.75,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ccp,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/ccp-la-gi-cac-cay-quyet-dinh-ccp-trong-he-thong-haccp/,,,,1,1119,0.09%,7.76,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
gp,GSC,https://knacert.com.vn/phat-trien-ben-vung/chuong-trinh-nang-suat-xanh-gp-la-gi/,,,,0,1116,0.00%,7.59,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ocs,GSC,https://knacert.com.vn/dich-vu/tu-van-ocs-tieu-chuan-ve-thanh-phan-huu-co/,,,,2,1093,0.18%,4.74,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ehs là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/so-tay-quan-ly-ehs-he-thong-ehs-va-tieu-chuan-iso/,,,,14,1037,1.35%,4.02,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
mô hình swot,GSC,https://knacert.com.vn/cong-cu-cai-tien/ma-tran-swot-la-gi-ung-dung-cua-swot-vao-phan-tich-chien-luoc-kinh-doanh/,,,,2,1079,0.19%,4.57,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso 13485,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-134852016/,,,,4,1069,0.37%,6.83,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
isms,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/isms-la-gi-tim-hieu-he-thong-quan-ly-an-toan-thong-tin/,,,,2,1064,0.19%,5.82,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
lông vũ,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/long-vu-va-ap-dung-tieu-chuan-rds-cho-cac-nha-san-xuat-thoi-trang/,,,,4,1041,0.38%,5.18,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
eudr,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/eudr-la-gi-tat-tan-tat-quy-dinh-chong-pha-rung-eu-moi-nhat-20231115/,,,,5,1010,0.50%,7.52,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
kna,GSC,https://knacert.com.vn/,,,,76,1016,7.48%,5.25,,,,,,,,,Position 4-20,Refresh / Optimize,Rất cao,,,Chưa tạo,,
qa qc là gì,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,1,1186,0.08%,1.52,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
duns,GSC,https://knacert.com.vn/dich-vu/ma-so-duns-la-gi-dang-ki-ma-duns-cho-doanh-nghiep/,,,,9,920,0.98%,5.57,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ul,GSC,https://knacert.com.vn/cong-cu-cai-tien/huong-dan-cach-kiem-tra-ma-so-chung-nhan-ul/,,,,0,956,0.00%,8.67,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
jit,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tim-hieu-he-thong-san-xuat-tuc-thoi-just-in-time-jit-va-loi-ich-cua-chung/,,,,12,905,1.33%,4.79,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
swot,GSC,https://knacert.com.vn/cong-cu-cai-tien/cac-chien-luoc-ket-hop-swot/,,,,3,941,0.32%,6.66,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso 9001 là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-90012015-la-gi-kna-cert/,,,,10,893,1.12%,5.32,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
gmp là gì,GSC,https://knacert.com.vn/dich-vu/tieu-chuan-gmp-thuc-hanh-san-xuat-tot/,,,,1,1108,0.09%,3.78,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
kanban board,GSC,https://knacert.com.vn/cong-cu-cai-tien/bang-kanban-kanban-board-la-gi/,,,,6,885,0.68%,4.59,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
chứng nhận fda,GSC,https://knacert.com.vn/dich-vu/dang-ky-fda-la-gi-thu-tuc-xin-giay-chung-nhan-fda/,,,,1,888,0.11%,8.97,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ctpat là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-c-tpat-va-nhung-noi-dung-cap-nhat-moi/,,,,10,834,1.20%,4.62,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
pdca là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/pdca-la-gi/,,,,1,866,0.12%,9.94,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso 9001:2015,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-iso-90012015-la-gi-kna-cert/,,,,8,834,0.96%,7.01,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-la-gi-nhung-tieu-chuan-iso-pho-bien-va-quy-trinh-chung-nhan-iso/,,,,2,856,0.23%,6.64,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
cq,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/certificate-of-quality-giay-chung-nhan-chat-luongcq-la-gi/,,,,4,834,0.48%,4.40,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ce,GSC,https://knacert.com.vn/dich-vu/dao-tao-chung-nhan-ce-marking/,,,,0,842,0.00%,8.77,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
msa là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/gioi-thieu-ve-phan-tich-he-thong-do-luong-msa/,,,,4,803,0.50%,6.28,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
sc,GSC,https://knacert.com.vn/cong-cu-cai-tien/giay-chung-nhan-pham-vi-hoat-dong-scope-certificate-chung-chi-sc-la-gi/,,,,0,981,0.00%,3.69,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ccp là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/ccp-la-gi-cac-cay-quyet-dinh-ccp-trong-he-thong-haccp/,,,,5,792,0.63%,4.11,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
spc là gì,GSC,https://knacert.com.vn/phat-trien-ben-vung/gioi-thieu-ve-kiem-soat-quy-trinh-thong-ke-spc-trong-he-thong-iatf-16949/,,,,7,931,0.75%,3.29,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
qcc,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/nhom-kieu-soat-chat-luong-qcc-la-gi-cong-dung-va-cach-xay-dung-qcc/,,,,16,737,2.17%,6.39,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
qa là công việc gì,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,8,766,1.04%,4.79,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ppap,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/gioi-thieu-ve-quy-trinh-phe-duyet-san-xuat-ppap-trong-he-thong-iatf-16949/,,,,2,788,0.25%,7.30,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
esd,GSC,https://knacert.com.vn/dich-vu/chung-nhan-esd-tieu-chuan-chong-tinh-dien/,,,,0,796,0.00%,9.67,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
smeta,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tim-hieu-smeta-2-pillar-va-smeta-4-pillar/,,,,1,782,0.13%,6.36,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ma trận swot là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/ma-tran-swot-la-gi-ung-dung-cua-swot-vao-phan-tich-chien-luoc-kinh-doanh/,,,,12,868,1.38%,3.98,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
vệ sinh nhà xưởng ahs,GSC,https://knacert.com.vn/cong-cu-cai-tien/quy-trinh-thuc-hien-ve-sinh-nha-xuong-haccp/,,,,0,926,0.00%,1.85,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso 9001,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tong-quan-ve-cac-dieu-khoan-iso-90012015/,,,,2,760,0.26%,5.83,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ce,GSC,https://knacert.com.vn/dich-vu-chung-nhan/chung-nhan-ce-marketing/,,,,0,871,0.00%,11.04,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
ehs,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/so-tay-quan-ly-ehs-he-thong-ehs-va-tieu-chuan-iso/,,,,14,782,1.79%,3.48,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
eudr là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/eudr-la-gi-tat-tan-tat-quy-dinh-chong-pha-rung-eu-moi-nhat-20231115/,,,,22,738,2.98%,2.66,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
gmp,GSC,https://knacert.com.vn/dich-vu/tieu-chuan-gmp-thuc-hanh-san-xuat-tot/,,,,1,680,0.15%,5.69,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
cấp chứng nhận fda,GSC,https://knacert.com.vn/dich-vu/dang-ky-fda-la-gi-thu-tuc-xin-giay-chung-nhan-fda/,,,,0,678,0.00%,4.21,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
halal là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-halal-la-gi/,,,,2,660,0.30%,7.95,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
wrap là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/bo-tieu-chuan-wrap-la-gi-worldwide-responsible-accredited-production/,,,,1,642,0.16%,5.42,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
mục tiêu smart,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tong-quan-ve-mo-hinh-smart-vi-du-ve-muc-tieu-smart/,,,,5,623,0.80%,7.15,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
kaizen nghĩa là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/kaizen-la-gi-tim-hieu-nhung-loi-ich-tu-viec-ap-dung-kaizen/,,,,5,617,0.81%,4.51,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
sedex,GSC,https://knacert.com.vn/dich-vu/sedex-la-gi-tu-van-tieu-chuan-sedex-smeta/,,,,2,624,0.32%,6.72,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
nhân viên qa là gì,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,0,630,0.00%,6.87,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
c-tpat là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/tieu-chuan-c-tpat-va-nhung-noi-dung-cap-nhat-moi/,,,,3,612,0.49%,4.86,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
qa là làm gì,GSC,https://knacert.com.vn/tin-tuc-nganh-nghe/ky-su-qa-la-lam-gi-mo-ta-cong-viec-qaqc/,,,,11,691,1.59%,3.65,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
pellet là gì,GSC,https://knacert.com.vn/cong-cu-cai-tien/vien-nen-go-la-gi-wood-pellet-uu-diem-cua-vien-nen-go/,,,,1,613,0.16%,4.20,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
iso 9000,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/iso-9000-la-gi/,,,,2,605,0.33%,7.19,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
isms là gì,GSC,https://knacert.com.vn/tin-tuc-tieu-chuan/isms-la-gi-tim-hieu-he-thong-quan-ly-an-toan-thong-tin/,,,,4,592,0.68%,4.53,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
fair trade,GSC,https://knacert.com.vn/dich-vu/tu-van-fairtrade-thuong-mai-cong-bang/,,,,4,591,0.68%,6.70,,,,,,,,,CTR thấp,Title/Meta Update,Rất cao,,,Chưa tạo,,
